Platformer | 8.630568348473856
Dark Humor | 8.579033023071126
Puzzle Platformer | 8.61895034892242
First-Person | 8.568374720614125
Story Rich | 8.545884788430442
3D Platformer | 8.651161697513079
Female Protagonist | 8.579733608403645
Action-Adventure | 8.586137166728179
Puzzle | 8.541862442928904
Funny | 8.546206371419046
FPS | 8.576056288477973
Action | 8.55839380397905
Physics | 8.628796659048461
Level Editor | 8.651047505109164
Co-op | 8.574985022451846
Sci-fi | 8.52284482134421
Science | 8.73643222327498
Atmospheric | 8.573277347362472
Comedy | 8.553526460515311
Adventure | 8.56881903663172
Open World | 8.577355705162876
Sandbox | 8.62598281251736
Survival | 8.578754850982524
2D | 8.583087493374908
Adventure | 8.56881903663172
Multiplayer | 8.563082272961001
Crafting  | 8.8
Building | 8.660725811588762
Pixel Graphics | 8.637361795356831
Exploration | 8.574628418827228
Co-op | 8.574985022451846
Indie | 8.57298343023533
Action | 8.55839380397905
Online Co-Op | 8.580736680177889
RPG | 8.573978003677317
Singleplayer | 8.569836664122663
Replay Value | 8.621069235047942
Atmospheric | 8.573277347362472
Open World | 8.577355705162876
RPG | 8.573978003677317
Story Rich | 8.545884788430442
Atmospheric | 8.573277347362472
Mature | 8.65484439360942
Fantasy | 8.566509841753826
Adventure | 8.56881903663172
Singleplayer | 8.569836664122663
Choices Matter | 8.64076365203744
Nudity | 8.631974378432423
Great Soundtrack | 8.539005728836175
Third Person | 8.544138908202942
Action | 8.55839380397905
Medieval | 8.621829560831006
Multiple Endings | 8.651920988650781
Action RPG | 8.5210062149455
Dark Fantasy | 8.55400574177341
Magic | 8.635106515116568
Dark | 8.633226448720695
Sandbox | 8.62598281251736
Automation | 8.65987401326453
Base Building | 8.542464822834374
Resource Management | 8.538886111102055
Sandbox | 8.62598281251736
Crafting | 8.543001534843032
Strategy | 8.55291188751059
Multiplayer | 8.563082272961001
Survival | 8.578754850982524
Management | 8.637489673134523
Open World | 8.577355705162876
Casual | 8.563078848385178
Co-op | 8.574985022451846
2D | 8.583087493374908
Building | 8.660725811588762
Pixel Graphics | 8.637361795356831
Moddable | 8.60906488555078
City Builder | 8.5996212167313
Singleplayer | 8.569836664122663
Simulation | 8.598939501493767
Trains | 8.678983752269904
Farming Sim | 8.73
Life Sim | 8.716425144205102
RPG | 8.573978003677317
Pixel Graphics | 8.637361795356831
Agriculture | 8.73
Simulation | 8.598939501493767
Relaxing | 8.612678931759733
Multiplayer | 8.563082272961001
Crafting | 8.543001534843032
Sandbox | 8.62598281251736
Indie | 8.57298343023533
Building | 8.660725811588762
Singleplayer | 8.569836664122663
Casual | 8.563078848385178
Open World | 8.577355705162876
Great Soundtrack | 8.539005728836175
2D | 8.583087493374908
Cute | 8.578092212886157
Dating Sim | 8.622494400352544
Simulation | 8.598939501493767
Driving | 8.637379998263091
Automobile Sim | 8.637379998263091
Open World | 8.577355705162876
Realistic | 8.584189305394391
Relaxing | 8.612678931759733
Singleplayer | 8.569836664122663
Moddable | 8.60906488555078
Exploration | 8.574628418827228
First-Person | 8.568374720614125
Economy | 8.638055676185626
Atmospheric | 8.573277347362472
Adventure | 8.56881903663172
Indie | 8.57298343023533
Management | 8.637489673134523
Casual | 8.563078848385178
TrackIR | 8.73
Racing | 8.68750072776079
Sandbox | 8.62598281251736
RPG | 8.573978003677317
Zombies | 8.553118084152846
Co-op | 8.574985022451846
FPS | 8.576056288477973
Multiplayer | 8.563082272961001
Shooter | 8.554073050095774
Action | 8.55839380397905
Online Co-Op | 8.580736680177889
Survival | 8.578754850982524
Horror | 8.558578747363303
First-Person | 8.568374720614125
Gore | 8.5443651051039
Team-Based | 8.571798864913948
Survival Horror | 8.561398478883275
Moddable | 8.60906488555078
Post-apocalyptic | 8.561980532471685
Singleplayer | 8.569836664122663
Adventure | 8.56881903663172
Local Co-Op | 8.58795777447285
Replay Value | 8.621069235047942
Tactical | 8.563946113682718
Action Roguelike | 8.547778303161309
Roguelike | 8.559861057045342
Indie | 8.57298343023533
Replay Value | 8.621069235047942
Difficult | 8.508263343039813
Pixel Graphics | 8.637361795356831
Dungeon Crawler | 8.528715072868751
Great Soundtrack | 8.539005728836175
Singleplayer | 8.569836664122663
Dark | 8.633226448720695
Remake | 8.548595021377128
2D | 8.583087493374908
Local Co-Op | 8.58795777447285
Gore | 8.5443651051039
Procedural Generation | 8.571401322915152
Roguelite | 8.558110741345564
Atmospheric | 8.573277347362472
Action | 8.55839380397905
Horror | 8.558578747363303
Co-op | 8.574985022451846
Colony Sim | 8.613928165814878
Base Building | 8.542464822834374
Survival | 8.578754850982524
Strategy | 8.55291188751059
Sandbox | 8.62598281251736
Management | 8.637489673134523
Building | 8.660725811588762
Simulation | 8.598939501493767
Singleplayer | 8.569836664122663
Open World | 8.577355705162876
Sci-fi | 8.52284482134421
Crafting | 8.543001534843032
Moddable | 8.60906488555078
2D | 8.583087493374908
Indie | 8.57298343023533
Great Soundtrack | 8.539005728836175
Atmospheric | 8.573277347362472
Space | 8.47787508220079
Action | 8.55839380397905
Early Access | 8.493864425274271
Puzzle | 8.541862442928904
Puzzle Platformer | 8.61895034892242
3D Platformer | 8.651161697513079
First-Person | 8.568374720614125
Singleplayer | 8.569836664122663
Sci-fi | 8.52284482134421
Comedy | 8.553526460515311
Female Protagonist | 8.579733608403645
Action | 8.55839380397905
Funny | 8.546206371419046
Physics | 8.628796659048461
Story Rich | 8.545884788430442
Classic | 8.53338441660232
Science | 8.73643222327498
FPS | 8.576056288477973
Atmospheric | 8.573277347362472
Short | 8.545596015978415
