8.80,208851,tag1
8.80,580913
8.79,405964 
8.74,86849 
8.73,264959 
8.73,334743 
8.71,380504 
8.71,111977 
8.70,82364 
8.69,75009 
8.68,164642 
8.68,596159 
8.68,116641 
8.66,38133 
8.66,76660 
8.64,55444 
8.63,106643 
8.63,139621 
8.62,75202 
8.61,31750 
8.61,26576 
8.61,204267 
8.60,53367 
8.60,56073 
8.60,24201 
8.60,57103 
8.59,166696 
8.59,108124 
8.59,43091 
8.59,141183 
8.59,37468 
8.59,80028 
8.58,52840 
8.58,165541 
8.58,47691 
8.57,131463 
8.56,24310 
8.55,103113 
8.55,51392 
8.55,21612 
8.55,24059 
8.55,15411 
8.55,16825 
8.55,110262 
8.55,11763 
8.55,39243 
8.55,58357 
8.54,98415 
8.54,15799 
8.53,50298 
8.53,104097 
8.52,137149 
8.52,60834 
8.52,10313 
8.52,50558 
8.51,68437 
8.51,50764 
8.51,54981 
8.51,20063 
8.51,9339 
8.50,59351 
8.50,696126 
8.50,287647 
8.50,5030 
8.50,38828 
8.50,40330 
8.50,36954 
8.49,14217 
8.49,32489 
8.49,55947 
8.49,21969 
8.49,50847 
8.49,101332 
8.49,4586 
8.48,48814 
8.48,11168 
8.48,16586 
8.48,26436 
8.48,82513 
8.48,3859 
8.48,10100 
8.48,9531 
8.48,8088 
8.47,184338 
8.47,18267 
8.47,35372 
8.46,8014 
8.46,8683 
8.46,15544 
8.46,48014 
8.46,127793 
8.46,11447 
8.46,17121 
8.46,31717 
8.46,7712 
8.45,26601 
8.45,25070 
8.45,59331 
8.45,60281 
8.45,23103 
8.45,10252 
8.44,50028 
8.44,27661 
8.44,4368 
8.44,21354 
8.44,39683 
8.44,12470 
8.44,201236 
8.44,32050 
8.44,43555 
8.44,9598 
8.43,91683 
8.43,7139 
8.43,3649 
8.43,45650 
8.43,18879 
8.43,8460 
8.43,26144 
8.42,4289 
8.42,18667 
8.42,33607 
8.42,3807 
8.42,34708 
8.42,19526 
8.42,2750 
8.42,27997 
8.42,10170 
8.42,36464 
8.41,23285 
8.41,2970 
8.41,12526 
8.41,19191 
8.41,23363 
8.41,23371 
8.41,62772 
8.41,15030 
8.40,9723 
8.40,99475 
8.40,7703 
8.40,33644 
8.40,6883 
8.40,2859 
8.40,3719 
8.40,46744 
8.40,21975 
8.40,43894 
8.39,20433 
8.39,16945 
8.39,4175 
8.39,7768 
8.39,12988 
8.39,22287 
8.39,105297 
8.39,233298 
8.39,35046 
8.39,9742 
8.38,5234 
8.38,18880 
8.38,7752 
8.38,17885 
8.38,3279 
8.38,16536 
8.38,24000 
8.38,24000 
8.38,7588 
8.38,4974 
8.37,11834 
8.37,204874 
8.37,18311 
8.37,8039 
8.37,35884 
8.37,44136 
8.37,17554 
8.37,7784 
8.37,2444 
8.37,14959 
8.37,1904 
8.37,5832 
8.36,7503 
8.36,4278 
8.36,7104 
8.36,15293 
8.36,3389 
8.35,3421 
8.35,6614 
8.35,6692 
8.35,27190 
8.35,17864 
8.35,139651 
8.35,16711 
8.35,25797 
8.35,5586 
8.34,10501 
8.34,11589 
8.34,9413 
8.34,83221 
8.34,4163 
8.34,143686 
8.34,4053 
8.34,6663 
8.34,6079 
8.34,4874 
8.34,7793 
8.33,78767 
8.33,5393 
8.33,9661 
8.33,15848 
8.33,14129 
8.33,2152 
8.33,10020 
8.33,7588 
8.33,2810 
8.33,25106 
8.33,2021 
8.32,3710 
8.32,4663 
8.32,2596 
8.32,6404 
8.32,19240 
8.32,3663 
8.32,22364 
8.32,1411 
8.32,34881 
8.32,9089 
8.32,36646 
8.32,5896 
8.32,10796 
8.32,21562 
8.32,3163 
8.32,3276 
8.32,11412 
8.32,14053 
8.31,9104 
8.31,1408 
8.31,2167 
8.31,1399 
8.31,23401 
8.31,2766 
8.31,3013 
8.30,3397 
8.30,25925 
8.30,2801 
8.30,34660 
8.30,2514 
8.30,14213 
8.30,4879 
8.30,16174 
8.30,1512 
8.30,4211 
8.30,15717,tag1
